Ramirez,Camila,MindWeaver,Robotique,Sports d'équipe,3,Tête en l'air,Patient,Gris,Rôti de boeuf,Vin rouge,Kotlin
Thomas,Jeanne,AgriTech+,Cloud Computing,Musique,11,Distrait,Optimiste,Jaune,Pizza,Jus d'orange,C#
Sow,Aminata,EduBoost,Développement Mobile,Peinture,7,Susceptible,Honnête,Rose,Burger,Limonade,Go
Anderson,Chris,SafeCity,DevOps,Lecture,2,Perfectionnisme,Fiable,Bleu,Sushi,Eau pétillante,Python
Torres,Andres,FinTrack,Data Science,Cuisine,5,Impatience,Curieux,Rouge,Tacos,Café,JavaScript
Chen,Wei,HealthConnect,Intelligence Artificielle,Gaming,14,Entêtement,Déterminé,Vert,Curry Indien,Thé,Java
Diallo,Fatou,GreenEnergy,Cybersécurité,Randonnée,8,Timide,Empathique,Noir,Couscous,Eau fraîche,Rust
Smith,John,SmartLogistics,Développement Web,Jardinage,0,Râleur,Organisé,Blanc,Pâtes Carbonara,Coca-Cola,PHP
Patel,Rahul,CyberGuardian,Blockchain,Voyage,13,Procrastination,Rigoureux,Orange,Salade Composée,Bière artisanale,C++
Li,Mei,AquaMonitor,UI/UX Design,Photographie,6,Désordonné,Créatif,Violet,Lasagnes,Smoothie,TypeScript
Martinez,Isabella,WasteWise,Robotique,Sports d'équipe,10,Tête en l'air,Patient,Gris,Poulet Yassa,Vin rouge,Kotlin
Robert,Lucie,DataSphere,Développement Mobile,Programmation,4,Distrait,Optimiste,Jaune,Thieboudienne,Jus d'orange,Swift
Koné,Aïcha,CodeHive,Cloud Computing,Danse,9,Susceptible,Honnête,Rose,Pizza,Limonade,Go
Jones,David,PixelCraft,DevOps,Lecture,1,Perfectionnisme,Fiable,Bleu,Burger,Eau pétillante,Python
Garcia,Sofia,NeuroLink,Data Science,Cuisine,12,Impatience,Curieux,Rouge,Sushi,Café,JavaScript
Kumar,Priya,QuantumVault,Intelligence Artificielle,Gaming,5,Entêtement,Déterminé,Vert,Tacos,Thé,Java
Traoré,Moussa,TerraForm,Cybersécurité,Randonnée,11,Timide,Empathique,Noir,Curry Indien,Eau fraîche,Rust
Davis,Emily,StarGazer,Développement Web,Jardinage,7,Râleur,Organisé,Blanc,Couscous,Coca-Cola,PHP
Singh,Anjali,EcoSense,Blockchain,Voyage,0,Procrastination,Rigoureux,Orange,Pâtes Carbonara,Bière artisanale,C++
Wang,Jian,FlowState,UI/UX Design,Photographie,15,Désordonné,Créatif,Violet,Salade Composée,Smoothie,TypeScript
Gonzalez,Valeria,MindWeaver,Robotique,Sports d'équipe,8,Tête en l'air,Patient,Gris,Rôti de boeuf,Vin rouge,Kotlin
Richard,Pierre,AgriTech+,Cloud Computing,Musique,3,Distrait,Optimiste,Jaune,Pizza,Jus d'orange,C#
Camara,Amadou,EduBoost,Développement Mobile,Peinture,10,Susceptible,Honnête,Rose,Burger,Limonade,Go
Brown,Michael,SafeCity,DevOps,Lecture,6,Perfectionnisme,Fiable,Bleu,Sushi,Eau pétillante,Python
Hernandez,Diego,FinTrack,Data Science,Cuisine,2,Impatience,Curieux,Rouge,Tacos,Café,JavaScript
Zhang,Lin,HealthConnect,Intelligence Artificielle,Gaming,14,Entêtement,Déterminé,Vert,Curry Indien,Thé,Java
Cissé,Oumar,GreenEnergy,Cybersécurité,Randonnée,9,Timide,Empathique,Noir,Couscous,Eau fraîche,Rust
Wilson,Jessica,SmartLogistics,Développement Web,Jardinage,5,Râleur,Organisé,Blanc,Pâtes Carbonara,Coca-Cola,PHP
Sharma,Arjun,CyberGuardian,Blockchain,Voyage,11,Procrastination,Rigoureux,Orange,Salade Composée,Bière artisanale,C++
Liu,Hao,AquaMonitor,UI/UX Design,Photographie,0,Désordonné,Créatif,Violet,Lasagnes,Smoothie,TypeScript
Perez,Elena,WasteWise,Robotique,Sports d'équipe,15,Tête en l'air,Patient,Gris,Poulet Yassa,Vin rouge,Kotlin
Petit,Jacques,DataSphere,Développement Mobile,Programmation,7,Distrait,Optimiste,Jaune,Thieboudienne,Jus d'orange,Swift
Ndiaye,Kadidiatou,CodeHive,Cloud Computing,Danse,2,Susceptible,Honnête,Rose,Pizza,Limonade,Go
Moore,Daniel,PixelCraft,DevOps,Lecture,10,Perfectionnisme,Fiable,Bleu,Burger,Eau pétillante,Python
Sanchez,Javier,NeuroLink,Data Science,Cuisine,4,Impatience,Curieux,Rouge,Sushi,Café,JavaScript
Kumar,Priya,QuantumVault,Intelligence Artificielle,Gaming,8,Entêtement,Déterminé,Vert,Tacos,Thé,Java
Mbow,Ibrahim,TerraForm,Cybersécurité,Randonnée,1,Timide,Empathique,Noir,Curry Indien,Eau fraîche,Rust
Taylor,Olivia,StarGazer,Développement Web,Jardinage,12,Râleur,Organisé,Blanc,Couscous,Coca-Cola,PHP
Nguyen,Neha,EcoSense,Blockchain,Voyage,6,Procrastination,Rigoureux,Orange,Pâtes Carbonara,Bière artisanale,C++
Wang,Jian,FlowState,UI/UX Design,Photographie,9,Désordonné,Créatif,Violet,Salade Composée,Smoothie,TypeScript
Ramirez,Camila,MindWeaver,Robotique,Sports d'équipe,3,Tête en l'air,Patient,Gris,Rôti de boeuf,Vin rouge,Kotlin
Durand,François,AgriTech+,Cloud Computing,Musique,11,Distrait,Optimiste,Jaune,Pizza,Jus d'orange,C#
Sow,Aminata,EduBoost,Développement Mobile,Peinture,7,Susceptible,Honnête,Rose,Burger,Limonade,Go
Anderson,Chris,SafeCity,DevOps,Lecture,2,Perfectionnisme,Fiable,Bleu,Sushi,Eau pétillante,Python
Torres,Andres,FinTrack,Data Science,Cuisine,5,Impatience,Curieux,Rouge,Tacos,Café,JavaScript
Chen,Wei,HealthConnect,Intelligence Artificielle,Gaming,14,Entêtement,Déterminé,Vert,Curry Indien,Thé,Java
Diallo,Fatou,GreenEnergy,Cybersécurité,Randonnée,8,Timide,Empathique,Noir,Couscous,Eau fraîche,Rust
Smith,John,SmartLogistics,Développement Web,Jardinage,0,Râleur,Organisé,Blanc,Pâtes Carbonara,Coca-Cola,PHP
Patel,Rahul,CyberGuardian,Blockchain,Voyage,13,Procrastination,Rigoureux,Orange,Salade Composée,Bière artisanale,C++
Li,Mei,AquaMonitor,UI/UX Design,Photographie,6,Désordonné,Créatif,Violet,Lasagnes,Smoothie,TypeScript
Martinez,Isabella,WasteWise,Robotique,Sports d'équipe,10,Tête en l'air,Patient,Gris,Poulet Yassa,Vin rouge,Kotlin
Leroy,Jacques,DataSphere,Développement Mobile,Programmation,4,Distrait,Optimiste,Jaune,Thieboudienne,Jus d'orange,Swift
Koné,Aïcha,CodeHive,Cloud Computing,Danse,9,Susceptible,Honnête,Rose,Pizza,Limonade,Go
Jones,David,PixelCraft,DevOps,Lecture,1,Perfectionnisme,Fiable,Bleu,Burger,Eau pétillante,Python
Garcia,Sofia,NeuroLink,Data Science,Cuisine,12,Impatience,Curieux,Rouge,Sushi,Café,JavaScript
Kumar,Priya,QuantumVault,Intelligence Artificielle,Gaming,5,Entêtement,Déterminé,Vert,Tacos,Thé,Java
Traoré,Moussa,TerraForm,Cybersécurité,Randonnée,11,Timide,Empathique,Noir,Curry Indien,Eau fraîche,Rust
Davis,Emily,StarGazer,Développement Web,Jardinage,7,Râleur,Organisé,Blanc,Couscous,Coca-Cola,PHP
Singh,Anjali,EcoSense,Blockchain,Voyage,0,Procrastination,Rigoureux,Orange,Pâtes Carbonara,Bière artisanale,C++
Wang,Jian,FlowState,UI/UX Design,Photographie,15,Désordonné,Créatif,Violet,Salade Composée,Smoothie,TypeScript
Gonzalez,Valeria,MindWeaver,Robotique,Sports d'équipe,8,Tête en l'air,Patient,Gris,Rôti de boeuf,Vin rouge,Kotlin
Dubois,Antoine,AgriTech+,Dev Web,Lecture,5,Procrastination,Créatif,Bleu,Pizza,Café,Python
Ndiaye,Aïcha,SafeCity,Data,Football,8,Impatience,Organisé,Vert,Thieboudienne,Jus d'Orange,JavaScript
Smith,Emily,EduBoost,IA,Gaming,3,Têtu,Empatique,Rouge,Sushi,Eau,Python
Traoré,Moussa,FinTrack,Cybersécurité,Coding,10,Timidité,Rigoureux,Jaune,Yassa Poulet,Jus de Mangue,Java
Bernard,Sophie,HealthConnect,Mobile,Danse,2,Perfectionnisme,Curieux,Noir,Pâtes Carbonara,Thé,Kotlin
Diallo,Fatoumata,EcoSmart,DevOps,Voyage,7,Bavard,Optimiste,Blanc,Couscous,Eau gazeuse,Go
Johnson,Michael,AquaSense,Cloud,Randonnée,12,Distrait,Persévérant,Violet,Burger,Coca-Cola,C#
Konaté,Omar,DataInsight,Data,Cuisine,6,Gourmandise,Loyal,Orange,Mafé,Jus de Bissap,Python
Thomas,Romain,CyberGuard,Cybersécurité,Musique,9,Impulsif,Sens de l'humour,Gris,Tacos,Limonade,Rust
Sow,Mariam,AutoDrive,IA,Photographie,4,Maladroit,Esprit d'équipe,Rose,Ramen,Smoothie,Python
Petit,Julie,UrbanLink,UI/UX Design,Natation,1,Rêveur,Pédagogue,Turquoise,Salade Composée,Lait,JavaScript
Touré,Cheikh,GreenWave,Dev Web,Échecs,11,Maniaque,Proactif,Marron,Poulet Rôti,Chocolat Chaud,PHP
Williams,Sarah,AIRevolution,Blockchain,Peinture,5,Lunatique,Méthodique,Bleu,Lasagnes,Jus de Pomme,Solidity
Camara,Aminata,SmartGrid,Réseau,Jardinage,7,Colérique,Adaptable,Vert,Curry,Tisane,Python
Brown,David,OmniShop,Product Owner,Fitness,3,Naïf,Innovant,Rouge,Fondue,Café,Agile
Kone,Ibrahim,SecureNet,Cybersécurité,Méditation,8,Procrastination,Communicatif,Jaune,Paella,Jus d'Orange,C
Davis,Jessica,E-Gov,Business Analyst,Bricolage,2,Impatience,Logique,Noir,Thieboudienne,Eau,SQL
Sy,Fanta,WasteTrack,Mobile,Dessin,10,Têtu,Créatif,Blanc,Yassa Poulet,Jus de Mangue,Swift
Miller,Daniel,FarmConnect,DevOps,Escalade,6,Timidité,Organisé,Violet,Sushi,Thé,Go
Diop,Mamadou,CloudCare,Cloud,Écriture,9,Perfectionnisme,Empatique,Orange,Couscous,Eau gazeuse,Azure
Garcia,Olivia,SpaceExplorer,Data,Lecture,4,Bavard,Rigoureux,Gris,Burger,Coca-Cola,Python
Rodriguez,Liam,BioGenius,IA,Football,13,Distrait,Curieux,Rose,Mafé,Jus de Bissap,R
Martinez,Sophia,QuantumLeap,Dev Web,Gaming,7,Gourmandise,Optimiste,Turquoise,Tacos,Limonade,JavaScript
Wang,Noah,CityConnect,Mobile,Coding,5,Impulsif,Persévérant,Marron,Ramen,Smoothie,Kotlin
Chen,Wei,FoodDeliver,UI/UX Design,Danse,1,Maladroit,Loyal,Bleu,Salade Composée,Lait,HTML/CSS
Kim,Jia,AgriTech+,DevOps,Voyage,9,Rêveur,Sens de l'humour,Vert,Poulet Rôti,Chocolat Chaud,Go
Lee,Minjun,SafeCity,Cybersécurité,Randonnée,6,Maniaque,Esprit d'équipe,Rouge,Lasagnes,Jus de Pomme,Rust
Silva,Hajin,EduBoost,Data,Cuisine,11,Lunatique,Pédagogue,Jaune,Curry,Tisane,Python
Santos,Maria,FinTrack,Product Owner,Musique,4,Colérique,Proactif,Noir,Fondue,Café,Agile
Russo,João,HealthConnect,Scrum Master,Photographie,8,Naïf,Méthodique,Blanc,Paella,Jus d'Orange,Agile
Schmidt,Giulia,EcoSmart,Big Data,Natation,2,Procrastination,Adaptable,Violet,Riz cantonais,Eau,Python
Müller,Marco,AquaSense,Marketing Digital,Échecs,10,Impatience,Innovant,Orange,Thieboudienne,Jus de Mangue,SQL
Ivanov,Anna,DataInsight,SaaS Architect,Peinture,7,Têtu,Communicatif,Gris,Yassa Poulet,Thé,Java
Dubois,Antoine,CyberGuard,Robotique,Jardinage,5,Timidité,Logique,Rose,Sushi,Eau gazeuse,Python
Ndiaye,Sophie,AutoDrive,Embarqué,Fitness,3,Perfectionnisme,Créatif,Turquoise,Couscous,Coca-Cola,C
Smith,Romain,UrbanLink,UX Research,Méditation,12,Bavard,Organisé,Marron,Burger,Jus de Bissap,JavaScript
Traoré,Julie,GreenWave,Blockchain,Bricolage,6,Distrait,Empatique,Bleu,Mafé,Limonade,Solidity
Bernard,Paul,AIRevolution,Dev Web,Dessin,9,Gourmandise,Rigoureux,Vert,Tacos,Smoothie,PHP
Diallo,Chloé,SmartGrid,Cybersécurité,Escalade,4,Impulsif,Curieux,Rouge,Ramen,Lait,Rust
Johnson,Pierre,OmniShop,Mobile,Écriture,1,Maladroit,Optimiste,Jaune,Salade Composée,Chocolat Chaud,Kotlin
Konaté,Manon,SecureNet,Data,Lecture,11,Rêveur,Persévérant,Noir,Poulet Rôti,Jus de Pomme,Python
Thomas,Emma,E-Gov,IA,Football,7,Maniaque,Loyal,Blanc,Lasagnes,Tisane,R
Sow,Lucas,WasteTrack,DevOps,Gaming,5,Lunatique,Sens de l'humour,Violet,Curry,Café,Go
Petit,Aïcha,FarmConnect,Cloud,Coding,14,Colérique,Esprit d'équipe,Orange,Fondue,Jus d'Orange,C#
Touré,Moussa,CloudCare,UI/UX Design,Danse,8,Naïf,Pédagogue,Gris,Paella,Eau,HTML/CSS
Williams,Fatoumata,SpaceExplorer,Référencement,Voyage,2,Procrastination,Proactif,Rose,Riz cantonais,Jus de Mangue,Marketing
Camara,Omar,BioGenius,Business Analyst,Randonnée,10,Impatience,Méthodique,Turquoise,Thieboudienne,Thé,SQL
Brown,Mariam,QuantumLeap,Product Owner,Cuisine,6,Têtu,Adaptable,Marron,Yassa Poulet,Eau gazeuse,Agile
Kone,Cheikh,CityConnect,Mobile,Musique,9,Timidité,Innovant,Bleu,Sushi,Coca-Cola,Swift
Davis,Aminata,FoodDeliver,Dev Web,Photographie,4,Perfectionnisme,Communicatif,Vert,Couscous,Jus de Bissap,JavaScript
Miller,Ibrahim,AgriTech+,DevOps,Natation,13,Bavard,Logique,Rouge,Burger,Limonade,Go
Diop,Fanta,SafeCity,Cybersécurité,Échecs,7,Distrait,Créatif,Jaune,Mafé,Smoothie,Rust
Garcia,Mamadou,EduBoost,Data,Peinture,5,Gourmandise,Organisé,Noir,Tacos,Lait,Python
Rodriguez,Emily,FinTrack,IA,Jardinage,1,Impulsif,Empatique,Blanc,Ramen,Chocolat Chaud,Python
Martinez,Michael,HealthConnect,Mobile,Fitness,10,Maladroit,Rigoureux,Violet,Salade Composée,Jus de Pomme,Kotlin
Wang,Sarah,EcoSmart,Cloud,Méditation,6,Rêveur,Curieux,Orange,Poulet Rôti,Tisane,C#
Chen,David,AquaSense,UI/UX Design,Bricolage,9,Maniaque,Optimiste,Gris,Lasagnes,Café,HTML/CSS
Kim,Jessica,DataInsight,Qualité Logicielle,Dessin,4,Lunatique,Persévérant,Rose,Curry,Jus d'Orange,Python
Lee,Daniel,CyberGuard,Blockchain,Escalade,12,Colérique,Loyal,Turquoise,Fondue,Eau,Solidity
Silva,Olivia,AutoDrive,Réseau,Écriture,8,Naïf,Sens de l'humour,Marron,Paella,Jus de Mangue,Python
Santos,Liam,UrbanLink,Dev Web,Lecture,2,Procrastination,Esprit d'équipe,Bleu,Riz cantonais,Thé,PHP
Russo,Sophia,GreenWave,IA,Football,11,Impatience,Pédagogue,Vert,Thieboudienne,Eau gazeuse,Python
Schmidt,Noah,AIRevolution,Cybersécurité,Gaming,7,Têtu,Proactif,Rouge,Yassa Poulet,Coca-Cola,Rust
Müller,Wei,SmartGrid,Product Owner,Coding,5,Timidité,Méthodique,Jaune,Sushi,Jus de Bissap,Agile
Ivanov,Jia,OmniShop,Scrum Master,Danse,3,Perfectionnisme,Adaptable,Noir,Couscous,Limonade,Agile
Dubois,Minjun,SecureNet,Business Analyst,Voyage,10,Bavard,Innovant,Blanc,Burger,Smoothie,SQL
Ndiaye,Hajin,E-Gov,Data,Randonnée,6,Distrait,Communicatif,Violet,Mafé,Lait,Python
Smith,Maria,WasteTrack,Mobile,Cuisine,9,Gourmandise,Logique,Orange,Tacos,Chocolat Chaud,Swift
Traoré,João,FarmConnect,DevOps,Musique,4,Impulsif,Créatif,Gris,Ramen,Jus de Pomme,Go
Bernard,Giulia,CloudCare,Cloud,Photographie,13,Maladroit,Organisé,Rose,Salade Composée,Tisane,C#
Diallo,Marco,SpaceExplorer,UI/UX Design,Natation,7,Rêveur,Empatique,Turquoise,Poulet Rôti,Café,HTML/CSS
Johnson,Anna,BioGenius,IA,Échecs,5,Maniaque,Rigoureux,Marron,Lasagnes,Jus d'Orange,R
Konaté,Dmitry,QuantumLeap,Dev Web,Peinture,1,Lunatique,Curieux,Bleu,Curry,Eau,JavaScript
Thomas,Antoine,CityConnect,Cybersécurité,Jardinage,10,Colérique,Optimiste,Vert,Fondue,Jus de Mangue,Rust
Sow,Sophie,FoodDeliver,Mobile,Fitness,6,Naïf,Persévérant,Rouge,Paella,Thé,Kotlin
Petit,Romain,AgriTech+,Data,Méditation,9,Procrastination,Loyal,Jaune,Riz cantonais,Eau gazeuse,Python
Touré,Julie,SafeCity,DevOps,Bricolage,4,Impatience,Sens de l'humour,Noir,Thieboudienne,Coca-Cola,Go
Williams,Paul,EduBoost,IA,Dessin,12,Têtu,Esprit d'équipe,Blanc,Yassa Poulet,Jus de Bissap,Python
Camara,Chloé,FinTrack,Cybersécurité,Escalade,8,Timidité,Pédagogue,Violet,Sushi,Limonade,Java
Brown,Pierre,HealthConnect,Mobile,Écriture,2,Perfectionnisme,Proactif,Orange,Couscous,Smoothie,Kotlin
Kone,Manon,EcoSmart,Cloud,Lecture,11,Bavard,Méthodique,Gris,Burger,Lait,C#
Davis,Emma,AquaSense,UI/UX Design,Football,7,Distrait,Adaptable,Rose,Mafé,Chocolat Chaud,HTML/CSS
Miller,Lucas,DataInsight,Référencement,Gaming,5,Gourmandise,Innovant,Turquoise,Tacos,Jus de Pomme,Marketing
Diop,Aïcha,CyberGuard,Blockchain,Coding,1,Impulsif,Communicatif,Marron,Ramen,Tisane,Solidity
Garcia,Moussa,AutoDrive,Réseau,Danse,10,Maladroit,Logique,Bleu,Salade Composée,Café,Python
Rodriguez,Fatoumata,UrbanLink,Dev Web,Voyage,6,Rêveur,Créatif,Vert,Poulet Rôti,Jus d'Orange,PHP
Martinez,Omar,GreenWave,IA,Randonnée,9,Maniaque,Organisé,Rouge,Lasagnes,Eau,Python
Wang,Mariam,AIRevolution,Cybersécurité,Cuisine,4,Lunatique,Empatique,Jaune,Curry,Jus de Mangue,Rust
Chen,Cheikh,SmartGrid,Product Owner,Musique,13,Colérique,Rigoureux,Noir,Fondue,Thé,Agile
Kim,Aminata,OmniShop,Scrum Master,Photographie,7,Naïf,Curieux,Blanc,Paella,Eau gazeuse,Agile
Lee,Ibrahim,SecureNet,Business Analyst,Natation,5,Procrastination,Optimiste,Violet,Riz cantonais,Coca-Cola,SQL
Silva,Fanta,E-Gov,Data,Échecs,1,Impatience,Persévérant,Orange,Thieboudienne,Jus de Bissap,Python
Santos,Mamadou,WasteTrack,Mobile,Peinture,10,Têtu,Loyal,Gris,Yassa Poulet,Limonade,Swift
Russo,Emily,FarmConnect,DevOps,Jardinage,6,Timidité,Sens de l'humour,Rose,Sushi,Smoothie,Go
Fatou,Diallo,AgriTech+,Développement Mobile,Danse,7,Impatience,Résilience,Bleu,Thieboudienne,Jus d'orange,Kotlin
Pierre,Martin,SafeCity,Dev Web Frontend,Lecture,3,Timidité,Curiosité,Vert,Pizza,Café,JavaScript
Aïcha,Ndiaye,EduBoost,Data Science,Randonnée,5,Distraction,Rigueur,Jaune,Couscous,Thé,Python
David,Johnson,FinTrack,Cybersécurité,Gaming,10,Perfectionnisme,Esprit d'équipe,Noir,Sushi,Eau,C#
Sophie,Dubois,HealthConnect,Cloud Computing,Yoga,2,Indécision,Empathie,Violet,Salade Composée,Smoothie,Java
Moussa,Traoré,GreenEnergy,DevOps,Jardinage,8,Entêtement,Persévérance,Orange,Poulet Yassa,Soda,Go
Emily,Smith,SmartLogistics,IA,Musique,6,Procrastination,Créativité,Rose,Burger,Limonade,Python
Omar,Cissé,CyberGuard,Dev Web Backend,Football,4,Bavardage,Loyauté,Gris,Tacos,Bière,PHP
Isabelle,Bernard,AutoDrive,Développement Mobile,Dessin,1,Sensibilité excessive,Optimisme,Blanc,Crêpes,Lait,Swift
Liam,Williams,DataInsight,Data Science,Coding,9,Rancune,Humilité,Bleu,Ramen,Tisane,SQL
Wei,Wang,Artify,UI/UX Design,Photographie,11,Manque de confiance,Adaptabilité,Vert,Sushi,Vin,TypeScript
Sarah,Miller,EcoBuild,DevOps,Vélo,0,Impatience,Curiosité,Rouge,Paella,Jus d'orange,Rust
Jean,Thomas,OmniChannel,Dev Web Frontend,Voyage,13,Entêtement,Résilience,Jaune,Lasagnes,Café,JavaScript
Fatima,Ouédraogo,NextGenAI,IA,Écriture,7,Distraction,Rigueur,Noir,Thieboudienne,Eau,Python
Daniel,Garcia,QuantumLeap,Cybersécurité,Gaming,5,Perfectionnisme,Esprit d'équipe,Violet,Chili con carne,Soda,C#
Olivia,Martinez,UrbanFlow,Cloud Computing,Danse,2,Indécision,Empathie,Orange,Salade Composée,Smoothie,Java
Kenji,Tanaka,MediCareX,Développement Mobile,Lecture,8,Procrastination,Persévérance,Rose,Sushi,Limonade,Kotlin
Anya,Sharma,RoboChef,Data Science,Musique,6,Bavardage,Loyauté,Gris,Ramen,Thé,Python
Noah,Davis,FutureFarm,DevOps,Football,4,Sensibilité excessive,Optimisme,Blanc,Burger,Bière,Go
Emma,Rodriguez,SkillUp,UI/UX Design,Jardinage,1,Rancune,Humilité,Bleu,Tacos,Lait,TypeScript
Rahul,Singh,AgriTech+,Dev Web Backend,Coding,9,Manque de confiance,Adaptabilité,Vert,Couscous,Tisane,PHP
Akira,Kim,SafeCity,Cybersérité,Voyage,12,Impatience,Résilience,Rouge,Sushi,Vin,Rust
Mei,Chen,EduBoost,Data Science,Dessin,3,Timidité,Curiosité,Jaune,Ramen,Jus d'orange,Python
Priya,Khan,FinTrack,DevOps,Yoga,10,Perfectionnisme,Esprit d'équipe,Noir,Thieboudienne,Café,Go
Michel,Petit,HealthConnect,Développement Mobile,Lecture,7,Distraction,Rigueur,Violet,Pizza,Eau,Kotlin
Mariam,Diallo,GreenEnergy,Cloud Computing,Danse,5,Entêtement,Persévérance,Orange,Couscous,Soda,Java
Amadou,Traoré,SmartLogistics,IA,Gaming,2,Indécision,Empathie,Rose,Poulet Yassa,Smoothie,Python
Chloé,Dubois,CyberGuard,Dev Web Frontend,Musique,8,Procrastination,Créativité,Gris,Tacos,Limonade,JavaScript
Malik,Ndiaye,AutoDrive,Dev Web Backend,Football,6,Bavardage,Loyauté,Blanc,Burger,Bière,PHP
Clara,Bernard,DataInsight,Cybersécurité,Jardinage,4,Sensibilité excessive,Optimisme,Bleu,Sushi,Lait,C#
Ethan,Johnson,Artify,UI/UX Design,Photographie,11,Rancune,Humilité,Vert,Salade Composée,Tisane,TypeScript
Julia,Smith,EcoBuild,Data Science,Vélo,0,Manque de confiance,Adaptabilité,Rouge,Lasagnes,Vin,Python
Youssef,Martin,OmniChannel,DevOps,Randonnée,13,Impatience,Résilience,Jaune,Paella,Jus d'orange,Go
Manon,Thomas,NextGenAI,IA,Écriture,7,Entêtement,Rigueur,Noir,Crêpes,Café,Python
Kevin,Williams,QuantumLeap,Développement Mobile,Coding,5,Distraction,Esprit d'équipe,Violet,Ramen,Eau,Swift
Léa,Garcia,UrbanFlow,Cloud Computing,Danse,2,Indécision,Empathie,Orange,Chili con carne,Soda,Java
Lucas,Martinez,MediCareX,Dev Web Frontend,Lecture,8,Procrastination,Persévérance,Rose,Pizza,Smoothie,JavaScript
Inès,Davis,RoboChef,Data Science,Musique,6,Bavardage,Loyauté,Gris,Sushi,Limonade,Python
Alexandre,Rodriguez,FutureFarm,Dev Web Backend,Football,4,Sensibilité excessive,Optimisme,Blanc,Tacos,Bière,PHP
Zoé,Wang,SkillUp,Cybersécurité,Jardinage,1,Rancune,Humilité,Bleu,Burger,Lait,C#
Tom,Li,AgriTech+,DevOps,Gaming,9,Manque de confiance,Adaptabilité,Vert,Couscous,Tisane,Rust
Jade,Chen,SafeCity,UI/UX Design,Voyage,12,Impatience,Résilience,Rouge,Thieboudienne,Vin,TypeScript
Arthur,Kim,EduBoost,Data Science,Dessin,3,Timidité,Curiosité,Jaune,Ramen,Jus d'orange,Python
Lina,Tanaka,FinTrack,DevOps,Yoga,10,Perfectionnisme,Esprit d'équipe,Noir,Lasagnes,Café,Go
Adam,Sharma,HealthConnect,Développement Mobile,Lecture,7,Distraction,Rigueur,Violet,Pizza,Eau,Kotlin
Sarah,Khan,GreenEnergy,Cloud Computing,Danse,5,Entêtement,Persévérance,Orange,Poulet Yassa,Soda,Java
Ahmed,Singh,SmartLogistics,IA,Gaming,2,Indécision,Empathie,Rose,Sushi,Smoothie,Python
Camille,Dubois,CyberGuard,Dev Web Frontend,Musique,8,Procrastination,Créativité,Gris,Tacos,Limonade,JavaScript
Mehdi,Ndiaye,AutoDrive,Dev Web Backend,Football,6,Bavardage,Loyauté,Blanc,Burger,Bière,PHP
Romain,Bernard,DataInsight,Cybersécurité,Jardinage,4,Sensibilité excessive,Optimisme,Bleu,Salade Composée,Lait,C#
Alice,Thomas,Artify,UI/UX Design,Photographie,11,Rancune,Humilité,Vert,Paella,Tisane,TypeScript
Hugo,Petit,EcoBuild,Data Science,Vélo,0,Manque de confiance,Adaptabilité,Rouge,Crêpes,Vin,Python
Louise,Martin,OmniChannel,DevOps,Randonnée,13,Impatience,Résilience,Jaune,Chili con carne,Jus d'orange,Go
Gabin,Diallo,NextGenAI,IA,Écriture,7,Entêtement,Rigueur,Noir,Thieboudienne,Café,Python
Manel,Traoré,QuantumLeap,Développement Mobile,Coding,5,Distraction,Esprit d'équipe,Violet,Ramen,Eau,Swift
Jules,Cissé,UrbanFlow,Cloud Computing,Danse,2,Indécision,Empathie,Orange,Sushi,Soda,Java
Zoé,Ouédraogo,MediCareX,Dev Web Frontend,Lecture,8,Procrastination,Persévérance,Rose,Pizza,Smoothie,JavaScript
Sana,Johnson,RoboChef,Data Science,Musique,6,Bavardage,Loyauté,Gris,Couscous,Limonade,Python
Théo,Smith,FutureFarm,Dev Web Backend,Football,4,Sensibilité excessive,Optimisme,Blanc,Tacos,Bière,PHP
Anna,Brown,SkillUp,Cybersécurité,Jardinage,1,Rancune,Humilité,Bleu,Burger,Lait,C#
Paul,Williams,AgriTech+,DevOps,Gaming,9,Manque de confiance,Adaptabilité,Vert,Lasagnes,Tisane,Rust
Léa,Miller,SafeCity,UI/UX Design,Voyage,12,Impatience,Résilience,Rouge,Paella,Vin,TypeScript
Baptiste,Garcia,EduBoost,Data Science,Dessin,3,Timidité,Curiosité,Jaune,Crêpes,Jus d'orange,Python
Victor,Martinez,FinTrack,DevOps,Yoga,10,Perfectionnisme,Esprit d'équipe,Noir,Chili con carne,Café,Go
Laura,Davis,HealthConnect,Développement Mobile,Lecture,7,Distraction,Rigueur,Violet,Ramen,Eau,Kotlin
Maxime,Rodriguez,GreenEnergy,Cloud Computing,Danse,5,Entêtement,Persévérance,Orange,Sushi,Soda,Java
Clémence,Wang,SmartLogistics,IA,Gaming,2,Indécision,Empathie,Rose,Thieboudienne,Smoothie,Python
Louis,Li,CyberGuard,Dev Web Frontend,Musique,8,Procrastination,Créativité,Gris,Pizza,Limonade,JavaScript
Margaux,Chen,AutoDrive,Dev Web Backend,Football,6,Bavardage,Loyauté,Blanc,Tacos,Bière,PHP
Gabriel,Kim,DataInsight,Cybersécurité,Jardinage,4,Sensibilité excessive,Optimisme,Bleu,Burger,Lait,C#
Emma,Tanaka,Artify,UI/UX Design,Photographie,11,Rancune,Humilité,Vert,Salade Composée,Tisane,TypeScript
